,avg_BD,avg_BE,group
0,0.45,0.43232688263176067,1ABCD
1,0.45,0.4609725230456938,2ABCD
2,0.4583333333333333,0.3436924511619634,3ABCDE
3,0.5,0.2224043730141291,4ABCDE
