Index;timestamp;group;disengaged;looking;talking;intTech;intRes;intExt;Accessed;Create;Open;Update
0;08/11/2017 11:07;1ABCD;0;0;0;1;0;0.5;0;0;0;0
1;08/11/2017 11:14;1ABCD;0;0.25;0;1;1;0;33;7;15;12
2;08/11/2017 11:20;1ABCD;0;0;1;1;1;0.75;5;0;0;17
3;08/11/2017 11:25;1ABCD;0;0;1;1;0.25;0.75;8;0;3;3
4;08/11/2017 11:30;1ABCD;0;0;1;1;0.5;0.5;12;2;3;1
5;08/11/2017 11:35;1ABCD;0;0;1;1;1;0.5;19;2;5;0
6;08/11/2017 11:40;1ABCD;0;0;1;1;1;0.25;17;0;14;13
7;08/11/2017 11:45;1ABCD;0;0;1;1;1;1;8;0;0;10
8;08/11/2017 11:50;1ABCD;0;0;1;1;1;1;8;0;0;0
9;08/11/2017 11:55;1ABCD;0;0;1;0.75;1;1;8;0;0;0
10;08/11/2017 12:50;2ABCD;0;0.25;1;0.75;1;0.5;0;0;0;0
11;08/11/2017 13:05;2ABCD;0;0;1;1;0;1;15;7;35;37
12;08/11/2017 13:10;2ABCD;0;0;1;1;1;1;0;0;6;22
13;08/11/2017 13:15;2ABCD;0;0;1;1;0.5;0.75;11;0;9;18
14;08/11/2017 13:20;2ABCD;0;0;1;1;0.5;1;7;1;0;0
15;08/11/2017 13:25;2ABCD;0;0;1;1;1;1;2;0;0;0
16;08/11/2017 13:30;2ABCD;0;0;1;1;1;0.75;11;0;1;0
17;08/11/2017 13:35;2ABCD;0;0;1;1;1;0.75;13;0;0;0
18;08/11/2017 13:40;2ABCD;0;0;1;1;0;0.75;28;2;1;0
19;08/11/2017 13:45;2ABCD;0;0;1;1;0;1;2;0;0;0
20;08/11/2017 11:58;3ABCDE;0;0;1;1;0.6;0.2;0;0;0;0
21;08/11/2017 12:15;3ABCDE;0;0;1;1;0;0;41;8;10;12
22;08/11/2017 12:20;3ABCDE;0;0;1;1;0.8;0.2;4;0;1;13
23;08/11/2017 12:25;3ABCDE;0;0;1;1;0.4;0;10;0;3;6
24;08/11/2017 12:30;3ABCDE;0;0;1;0.4;1;0.2;11;1;0;0
25;08/11/2017 12:35;3ABCDE;0;0.2;1;1;0.4;0.2;17;0;4;1
26;08/11/2017 12:39;3ABCDE;0;0.4;1;0.8;0.6;0.2;17;0;0;0
27;08/11/2017 12:44;3ABCDE;0;0;1;1;0.4;0.2;13;0;0;0
28;08/11/2017 12:45;3ABCDE;0;0.2;1;0.4;0.4;0;10;0;0;0
29;08/11/2017 12:49;3ABCDE;0;0.2;1;0.6;1;0;4;0;0;0
30;08/11/2017 12:54;3ABCDE;0;0;1;0.8;0.8;0.4;2;0;0;0
31;08/11/2017 12:58;3ABCDE;0;0;1;0.8;0.4;0;11;0;0;0
32;08/11/2017 10:18;4ABCDE;0;0;0;1;0;0;32;2;1;0
33;08/11/2017 10:24;4ABCDE;0;0;1;0;0;0.2;20;8;14;11
34;08/11/2017 10:39;4ABCDE;0;0;0;1;0;0;0;0;4;18
35;08/11/2017 10:45;4ABCDE;0;0;0;0.6;0.4;0;8;0;1;2
36;08/11/2017 10:51;4ABCDE;0;0;0;1;0;0;3;2;0;0
37;08/11/2017 10:55;4ABCDE;0;0;1;1;1;0;0;1;0;0
38;08/11/2017 10:57;4ABCDE;0;0;0.4;1;0;0.2;3;0;0;0
39;08/11/2017 10:59;4ABCDE;0;1;0.4;1;0;0;6;0;0;0
40;08/11/2017 11:07;4ABCDE;0;0;0;1;0;0;1;0;0;0
