",""timestamp"",""group"",""disengaged"",""looking"",""talking"",""intTech"",""intRes"",""intExt"",""Accessed"",""Create"",""Open"",""Update"""
"46,""2017-10-18 11:13:19"",""2DE"",""0"",""0.5"",""0.5"",""0.5"",""0"",""0"",""7"",""6"",""4"",""0"""
"47,""2017-10-18 11:19:28"",""2DE"",""0"",""0"",""0.5"",""0.5"",""1"",""1"",""0"",""0"",""7"",""16"""
"48,""2017-10-18 11:25:16"",""2DE"",""0"",""0"",""1"",""1"",""1"",""0"",""7"",""0"",""4"",""0"""
"49,""2017-10-18 11:36:13"",""2DE"",""0"",""1"",""1"",""1"",""1"",""0.5"",""11"",""12"",""7"",""5"""
"50,""2017-10-18 11:43:11"",""2DE"",""0"",""1"",""1"",""0"",""1"",""1"",""0"",""0"",""0"",""2"""
"51,""2017-10-18 11:49:21"",""2DE"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""5"""
"52,""2017-10-18 12:09:36"",""2FGH"",""0"",""0.667"",""1"",""0.333"",""1"",""0.333"",""1"",""1"",""0"",""0"""
"53,""2017-10-18 12:12:27"",""2FGH"",""0"",""1"",""1"",""0.667"",""1"",""0.333"",""0"",""0"",""0"",""0"""
"54,""2017-10-18 12:16:45"",""2FGH"",""0"",""0.333"",""1"",""0.667"",""0.667"",""0.333"",""0"",""2"",""0"",""0"""
"55,""2017-10-18 12:22:50"",""2FGH"",""0"",""0.667"",""1"",""0.667"",""0.333"",""0.333"",""0"",""0"",""0"",""0"""
"56,""2017-10-18 12:32:37"",""2FGH"",""0"",""0.667"",""0.667"",""0.333"",""0.333"",""0.667"",""6"",""0"",""2"",""1"""
"57,""2017-10-18 12:39:45"",""2FGH"",""0"",""1"",""1"",""0.333"",""1"",""0.333"",""0"",""0"",""0"",""0"""
"58,""2017-10-18 12:47:50"",""2FGH"",""0"",""0.333"",""0.667"",""0.333"",""0.667"",""0.667"",""23"",""0"",""8"",""1"""
"59,""2017-10-18 13:02:30"",""2FGH"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""0"",""0"",""0"""
"60,""2017-10-18 13:09:02"",""2IJ"",""0"",""1"",""1"",""1"",""1"",""0.5"",""0"",""0"",""0"",""7"""
"61,""2017-10-18 13:15:18"",""2IJ"",""0"",""1"",""1"",""0"",""1"",""1"",""0"",""2"",""0"",""0"""
"62,""2017-10-18 13:22:29"",""2IJ"",""0"",""0"",""1"",""1"",""1"",""0.5"",""7"",""5"",""0"",""1"""
"63,""2017-10-18 13:34:40"",""2IJ"",""0"",""0"",""1"",""1"",""1"",""0.5"",""4"",""0"",""0"",""2"""
"64,""2017-10-18 13:02:30"",""2IJ"",""0"",""1"",""1"",""1"",""1"",""1"",""0"",""2"",""6"",""11"""
"65,""2017-10-18 11:19:28"",""3AB"",""0"",""0.5"",""0.5"",""0"",""1"",""1"",""19"",""13"",""22"",""16"""
"66,""2017-10-18 11:25:16"",""3AB"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""3"""
"67,""2017-10-18 11:43:11"",""3AB"",""0"",""1"",""1"",""0"",""1"",""0"",""0"",""0"",""0"",""0"""
"68,""2017-10-18 11:49:21"",""3AB"",""0"",""0"",""1"",""0.5"",""1"",""0"",""6"",""7"",""2"",""1"""
"69,""2017-10-18 12:55:35"",""3CD"",""1"",""0"",""1"",""1"",""0"",""0.5"",""12"",""4"",""1"",""0"""
"70,""2017-10-18 13:00:06"",""3CD"",""0.5"",""0.5"",""1"",""1"",""0"",""1"",""10"",""1"",""15"",""17"""
"71,""2017-10-18 13:05:02"",""3CD"",""0"",""1"",""1"",""1"",""1"",""1"",""2"",""0"",""13"",""9"""
"72,""2017-10-18 13:10:15"",""3CD"",""0.5"",""1"",""1"",""1"",""0"",""0.5"",""7"",""1"",""6"",""6"""
"73,""2017-10-18 13:15:04"",""3CD"",""1"",""0.5"",""1"",""1"",""0.5"",""1"",""6"",""7"",""26"",""21"""
"74,""2017-10-18 13:19:13"",""3CD"",""0.5"",""0.5"",""1"",""0.5"",""1"",""1"",""0"",""0"",""11"",""13"""
"75,""2017-10-18 13:23:34"",""3CD"",""0.5"",""1"",""1"",""1"",""0.5"",""1"",""1"",""2"",""0"",""6"""
"76,""2017-10-18 13:30:29"",""3CD"",""1"",""1"",""1"",""1"",""1"",""0"",""3"",""0"",""0"",""0"""
"77,""2017-10-18 13:34:46"",""3CD"",""0.5"",""1"",""1"",""0.5"",""1"",""0"",""5"",""2"",""0"",""0"""
