,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
0,1,2017-11-08 11:07:48,1ABCD,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
1,2,2017-11-08 11:14:20,1ABCD,0.0,0.25,0.0,1.0,1.0,0.0,33.0,7.0,15.0,12.0
2,3,2017-11-08 11:20:44,1ABCD,0.0,0.0,1.0,1.0,1.0,0.75,5.0,0.0,0.0,17.0
3,4,2017-11-08 11:25:22,1ABCD,0.0,0.0,1.0,1.0,0.25,0.75,8.0,0.0,3.0,3.0
4,5,2017-11-08 11:30:12,1ABCD,0.0,0.0,1.0,1.0,0.5,0.5,12.0,2.0,3.0,1.0
5,6,2017-11-08 11:35:11,1ABCD,0.0,0.0,1.0,1.0,1.0,0.5,19.0,2.0,5.0,0.0
6,7,2017-11-08 11:40:09,1ABCD,0.0,0.0,1.0,1.0,1.0,0.25,17.0,0.0,14.0,13.0
7,8,2017-11-08 11:45:31,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,10.0
8,9,2017-11-08 11:50:27,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0
9,10,2017-11-08 11:55:16,1ABCD,0.0,0.0,1.0,0.75,1.0,1.0,8.0,0.0,0.0,0.0
10,11,2017-11-08 12:50:08,2ABCD,0.0,0.25,1.0,0.75,1.0,0.5,0.0,0.0,0.0,0.0
11,12,2017-11-08 13:05:12,2ABCD,0.0,0.0,1.0,1.0,0.0,1.0,15.0,7.0,35.0,37.0
12,13,2017-11-08 13:10:20,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,22.0
13,14,2017-11-08 13:15:22,2ABCD,0.0,0.0,1.0,1.0,0.5,0.75,11.0,0.0,9.0,18.0
14,15,2017-11-08 13:20:22,2ABCD,0.0,0.0,1.0,1.0,0.5,1.0,7.0,1.0,0.0,0.0
15,16,2017-11-08 13:25:49,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
16,17,2017-11-08 13:30:14,2ABCD,0.0,0.0,1.0,1.0,1.0,0.75,11.0,0.0,1.0,0.0
