,Unnamed: 0,timestamp,group,disengaged,looking,talking,intTech,intRes,intExt,Accessed,Create,Open,Update
0,1,2017-10-18 10:15:16,1AB,0.0,0.0,1.0,1.0,0.0,0.0,2,0,0,0
1,2,2017-10-18 10:20:11,1AB,0.0,0.0,1.0,1.0,0.0,0.0,6,8,11,0
2,3,2017-10-18 10:25:04,1AB,0.0,0.0,1.0,0.5,1.0,1.0,0,0,0,0
3,4,2017-10-18 10:30:19,1AB,0.0,0.5,1.0,0.5,1.0,0.5,3,2,0,0
4,5,2017-10-18 10:35:21,1AB,0.0,0.5,1.0,1.0,0.0,0.0,0,0,0,0
5,6,2017-10-18 10:40:15,1AB,0.5,0.5,1.0,1.0,0.0,0.0,0,0,0,0
6,7,2017-10-18 10:45:03,1AB,0.5,0.5,1.0,1.0,1.0,0.5,12,6,12,18
7,8,2017-10-18 10:50:28,1AB,0.0,0.5,1.0,1.0,1.0,1.0,0,1,0,3
8,9,2017-10-18 10:55:23,1AB,1.0,0.5,1.0,1.0,0.0,0.5,1,2,0,6
9,10,2017-10-18 11:00:04,1AB,0.5,0.5,1.0,1.0,0.0,0.5,0,0,0,0
10,11,2017-10-18 11:04:56,1AB,0.5,0.5,1.0,1.0,0.5,0.0,0,0,0,0
11,12,2017-10-18 11:10:23,1CD,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,0
12,13,2017-10-18 11:15:11,1CD,0.0,0.0,1.0,0.5,0.5,0.0,6,7,1,0
13,14,2017-10-18 11:20:09,1CD,1.0,0.0,1.0,0.5,0.0,0.5,0,2,0,0
14,15,2017-10-18 11:25:03,1CD,1.0,0.0,1.0,0.5,0.5,0.0,5,6,2,2
15,16,2017-10-18 11:29:46,1CD,0.0,0.5,1.0,0.5,1.0,0.0,14,2,7,7
16,17,2017-10-18 11:35:05,1CD,1.0,0.0,1.0,0.5,1.0,1.0,18,0,0,0
17,18,2017-10-18 11:39:33,1CD,1.0,1.0,1.0,0.5,1.0,1.0,7,0,4,2
18,19,2017-10-18 11:44:42,1CD,1.0,0.5,1.0,1.0,0.0,1.0,0,1,0,6
19,20,2017-10-18 11:45:53,1CD,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,6
20,21,2017-10-18 12:09:36,1GF,0.0,0.0,1.0,1.0,0.0,1.0,10,12,29,34
21,22,2017-10-18 12:12:27,1GF,0.0,1.0,1.0,1.0,1.0,1.0,0,0,12,21
22,23,2017-10-18 12:16:45,1GF,0.0,0.0,1.0,1.0,1.0,0.5,0,1,1,10
23,24,2017-10-18 12:22:50,1GF,0.0,0.5,0.0,1.0,0.0,1.0,0,0,0,8
24,25,2017-10-18 12:32:37,1GF,0.0,1.0,1.0,1.0,1.0,1.0,10,12,47,25
25,26,2017-10-18 12:39:45,1GF,0.0,1.0,1.0,1.0,1.0,0.0,1,1,0,14
26,27,2017-10-18 12:47:50,1GF,0.0,0.0,1.0,1.0,0.0,1.0,6,4,0,0
27,28,2017-10-18 13:02:30,1HI,0.0,0.5,1.0,1.0,1.0,1.0,0,2,0,0
28,29,2017-10-18 13:09:02,1HI,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0
29,30,2017-10-18 13:15:18,1HI,0.0,1.0,1.0,1.0,1.0,0.5,13,0,17,13
30,31,2017-10-18 13:22:29,1HI,0.0,1.0,1.0,0.5,1.0,1.0,0,0,2,14
31,32,2017-10-18 13:34:40,1HI,0.0,1.0,1.0,0.5,1.0,1.0,0,0,0,0
32,33,2017-10-18 10:12:49,2ABC,0.0,0.0,0.0,0.667,0.0,0.667,2,0,0,0
33,34,2017-10-18 10:18:14,2ABC,0.0,1.0,0.5,1.0,0.5,0.5,5,8,4,0
34,35,2017-10-18 10:24:46,2ABC,0.0,0.667,0.33299999999999996,1.0,1.0,0.33299999999999996,7,0,13,17
35,36,2017-10-18 10:29:13,2ABC,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0,0,39,50
36,37,2017-10-18 10:33:42,2ABC,0.0,0.0,0.667,0.33299999999999996,0.0,0.667,7,2,1,1
37,38,2017-10-18 10:39:13,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,7,0,4,9
38,39,2017-10-18 10:42:41,2ABC,0.0,0.33299999999999996,0.0,0.33299999999999996,0.0,0.0,0,0,0,12
39,40,2017-10-18 10:50:47,2ABC,0.0,0.0,0.667,0.0,0.667,0.0,4,8,4,1
40,41,2017-10-18 10:53:49,2ABC,0.0,0.0,0.667,0.667,0.33299999999999996,0.0,0,2,0,0
41,42,2017-10-18 10:57:43,2ABC,0.0,0.0,0.0,0.0,0.667,0.0,9,2,0,0
42,43,2017-10-18 11:13:19,2ABC,0.0,0.5,0.5,0.5,0.0,0.0,0,0,0,0
43,44,2017-10-18 11:36:13,2ABC,0.0,1.0,1.0,1.0,1.0,0.5,0,0,0,0
44,45,2017-10-18 10:46:46,2ABC,0.5,0.0,0.0,0.5,0.0,0.5,4,1,0,5
45,46,2017-10-18 11:13:19,2DE,0.0,0.5,0.5,0.5,0.0,0.0,7,6,4,0
46,47,2017-10-18 11:19:28,2DE,0.0,0.0,0.5,0.5,1.0,1.0,0,0,7,16
47,48,2017-10-18 11:25:16,2DE,0.0,0.0,1.0,1.0,1.0,0.0,7,0,4,0
48,49,2017-10-18 11:36:13,2DE,0.0,1.0,1.0,1.0,1.0,0.5,11,12,7,5
49,50,2017-10-18 11:43:11,2DE,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,2
50,51,2017-10-18 11:49:21,2DE,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,5
51,52,2017-10-18 12:09:36,2FGH,0.0,0.667,1.0,0.33299999999999996,1.0,0.33299999999999996,1,1,0,0
52,53,2017-10-18 12:12:27,2FGH,0.0,1.0,1.0,0.667,1.0,0.33299999999999996,0,0,0,0
53,54,2017-10-18 12:16:45,2FGH,0.0,0.33299999999999996,1.0,0.667,0.667,0.33299999999999996,0,2,0,0
54,55,2017-10-18 12:22:50,2FGH,0.0,0.667,1.0,0.667,0.33299999999999996,0.33299999999999996,0,0,0,0
55,56,2017-10-18 12:32:37,2FGH,0.0,0.667,0.667,0.33299999999999996,0.33299999999999996,0.667,6,0,2,1
56,57,2017-10-18 12:39:45,2FGH,0.0,1.0,1.0,0.33299999999999996,1.0,0.33299999999999996,0,0,0,0
57,58,2017-10-18 12:47:50,2FGH,0.0,0.33299999999999996,0.667,0.33299999999999996,0.667,0.667,23,0,8,1
58,59,2017-10-18 13:02:30,2FGH,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
59,60,2017-10-18 13:09:02,2IJ,0.0,1.0,1.0,1.0,1.0,0.5,0,0,0,7
60,61,2017-10-18 13:15:18,2IJ,0.0,1.0,1.0,0.0,1.0,1.0,0,2,0,0
61,62,2017-10-18 13:22:29,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,7,5,0,1
62,63,2017-10-18 13:34:40,2IJ,0.0,0.0,1.0,1.0,1.0,0.5,4,0,0,2
63,64,2017-10-18 13:02:30,2IJ,0.0,1.0,1.0,1.0,1.0,1.0,0,2,6,11
64,65,2017-10-18 11:19:28,3AB,0.0,0.5,0.5,0.0,1.0,1.0,19,13,22,16
65,66,2017-10-18 11:25:16,3AB,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,3
66,67,2017-10-18 11:43:11,3AB,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
67,68,2017-10-18 11:49:21,3AB,0.0,0.0,1.0,0.5,1.0,0.0,6,7,2,1
68,69,2017-10-18 12:55:35,3CD,1.0,0.0,1.0,1.0,0.0,0.5,12,4,1,0
69,70,2017-10-18 13:00:06,3CD,0.5,0.5,1.0,1.0,0.0,1.0,10,1,15,17
70,71,2017-10-18 13:05:02,3CD,0.0,1.0,1.0,1.0,1.0,1.0,2,0,13,9
71,72,2017-10-18 13:10:15,3CD,0.5,1.0,1.0,1.0,0.0,0.5,7,1,6,6
72,73,2017-10-18 13:15:04,3CD,1.0,0.5,1.0,1.0,0.5,1.0,6,7,26,21
73,74,2017-10-18 13:19:13,3CD,0.5,0.5,1.0,0.5,1.0,1.0,0,0,11,13
74,75,2017-10-18 13:23:34,3CD,0.5,1.0,1.0,1.0,0.5,1.0,1,2,0,6
75,76,2017-10-18 13:30:29,3CD,1.0,1.0,1.0,1.0,1.0,0.0,3,0,0,0
76,77,2017-10-18 13:34:46,3CD,0.5,1.0,1.0,0.5,1.0,0.0,5,2,0,0
77,1,2017-11-08 11:07:48,1ABCD,0.0,0.0,0.0,1.0,0.0,0.5,0,0,0,0
78,2,2017-11-08 11:14:20,1ABCD,0.0,0.25,0.0,1.0,1.0,0.0,33,7,15,12
79,3,2017-11-08 11:20:44,1ABCD,0.0,0.0,1.0,1.0,1.0,0.75,5,0,0,17
80,4,2017-11-08 11:25:22,1ABCD,0.0,0.0,1.0,1.0,0.25,0.75,8,0,3,3
81,5,2017-11-08 11:30:12,1ABCD,0.0,0.0,1.0,1.0,0.5,0.5,12,2,3,1
82,6,2017-11-08 11:35:11,1ABCD,0.0,0.0,1.0,1.0,1.0,0.5,19,2,5,0
83,7,2017-11-08 11:40:09,1ABCD,0.0,0.0,1.0,1.0,1.0,0.25,17,0,14,13
84,8,2017-11-08 11:45:31,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,8,0,0,10
85,9,2017-11-08 11:50:27,1ABCD,0.0,0.0,1.0,1.0,1.0,1.0,8,0,0,0
86,10,2017-11-08 11:55:16,1ABCD,0.0,0.0,1.0,0.75,1.0,1.0,8,0,0,0
87,11,2017-11-08 12:50:08,2ABCD,0.0,0.25,1.0,0.75,1.0,0.5,0,0,0,0
88,12,2017-11-08 13:05:12,2ABCD,0.0,0.0,1.0,1.0,0.0,1.0,15,7,35,37
89,13,2017-11-08 13:10:20,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,0,0,6,22
90,14,2017-11-08 13:15:22,2ABCD,0.0,0.0,1.0,1.0,0.5,0.75,11,0,9,18
91,15,2017-11-08 13:20:22,2ABCD,0.0,0.0,1.0,1.0,0.5,1.0,7,1,0,0
92,16,2017-11-08 13:25:49,2ABCD,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0
93,17,2017-11-08 13:30:14,2ABCD,0.0,0.0,1.0,1.0,1.0,0.75,11,0,1,0
94,18,2017-11-08 13:35:10,2ABCD,0.0,0.0,1.0,1.0,1.0,0.75,13,0,0,0
95,19,2017-11-08 13:40:10,2ABCD,0.0,0.0,1.0,1.0,0.0,0.75,28,2,1,0
96,20,2017-11-08 13:45:05,2ABCD,0.0,0.0,1.0,1.0,0.0,1.0,2,0,0,0
97,21,2017-11-08 11:58:53,3ABCDE,0.0,0.0,1.0,1.0,0.6,0.2,0,0,0,0
98,22,2017-11-08 12:15:10,3ABCDE,0.0,0.0,1.0,1.0,0.0,0.0,41,8,10,12
99,23,2017-11-08 12:20:03,3ABCDE,0.0,0.0,1.0,1.0,0.8,0.2,4,0,1,13
100,24,2017-11-08 12:25:02,3ABCDE,0.0,0.0,1.0,1.0,0.4,0.0,10,0,3,6
101,25,2017-11-08 12:30:01,3ABCDE,0.0,0.0,1.0,0.4,1.0,0.2,11,1,0,0
102,26,2017-11-08 12:35:06,3ABCDE,0.0,0.2,1.0,1.0,0.4,0.2,17,0,4,1
103,27,2017-11-08 12:39:48,3ABCDE,0.0,0.4,1.0,0.8,0.6,0.2,17,0,0,0
104,28,2017-11-08 12:44:18,3ABCDE,0.0,0.0,1.0,1.0,0.4,0.2,13,0,0,0
